arxiv,state,states_threshold,focus_absorbed,ap50,ap_at_half,ap_band,ap75
1403.3724v4,measured,0,0,0,0,0,0
1402.0289v1,measured,0,0,0,0,0,0
1401.4612v1,no_source,,,,,,
1406.7120v1,measured,0,0,0,0,0,0
1406.6962v2,measured,1,0,0,0,0,0
1406.6507v1,measured,0,0,0,0,0,0
1406.4729v4,measured,1,0,0,0,0,0
1406.3906v1,measured,0,0,0,0,0,0
1406.1134v2,measured,0,0,0,0,0,0
1405.5732v2,measured,0,0,0,0,0,0
1405.3531v4,measured,0,0,0,0,0,0
1409.7164v1,measured,0,0,0,0,0,0
1409.6911v3,measured,0,0,0,0,0,0
1409.6235v1,measured,0,0,0,0,0,0
1409.6155v3,measured,0,0,0,0,0,0
1409.5209v3,measured,0,0,0,0,0,0
1409.3505v1,measured,0,0,0,0,0,0
1409.1484v3,measured,0,0,0,0,0,0
1409.1411v1,no_source,,,,,,
1412.7957v1,measured,1,0,0,0,0,0
1412.7854v2,measured,0,0,0,0,0,0
1412.7190v4,measured,0,0,0,0,0,0
1412.7062v4,measured,0,0,0,0,0,0
1412.6885v1,no_source,,,,,,
1412.6124v1,measured,0,0,0,0,0,0
1412.6115v1,measured,0,0,0,0,0,0
1412.5661v2,measured,0,0,0,0,0,0
1503.06917v1,measured,0,0,0,0,0,0
1503.06648v1,measured,0,0,0,0,0,0
1503.06350v1,measured,1,0,0,0,0,0
1503.05038v1,measured,0,0,0,0,0,0
1503.03771v1,measured,0,0,0,0,0,0
1503.02351v1,measured,0,0,0,0,0,0
1503.00783v2,measured,1,0,0,0,0,0
1502.07643v3,no_source,,,,,,
1506.07704v2,measured,0,0,0,0,0,0
1506.07363v1,measured,0,0,0,0,0,0
1506.07224v1,measured,0,0,0,0,0,0
1506.06981v1,measured,1,0,0,0,0,0
1506.06204v2,measured,0,0,0,0,0,0
1506.05920v1,measured,0,0,0,0,0,0
1506.02640v5,measured,0,0,0,0,0,0
1506.02432v1,measured,0,0,0,0,0,0
1509.09089v1,measured,0,0,0,0,0,0
1509.08970v3,measured,0,0,0,0,0,0
1509.08147v2,measured,1,0,0,0,0,0
1509.06114v2,measured,0,0,0,0,0,0
1509.04874v3,measured,0,0,0,0,0,0
1509.03150v2,measured,0,0,0,0,0,0
1509.02094v1,measured,0,0,0,0,0,0
1509.01329v2,measured,1,0,0,0,0,0
1512.08648v1,measured,0,0,0,0,0,0
1512.07729v2,measured,0,0,0,0,0,0
1512.07711v2,measured,1,0,0,0,0,0
1512.07506v2,measured,0,0,0,0,0,0
1512.07314v1,measured,1,0,0,0,0,0
1512.06075v1,measured,0,0,0,0,0,0
1512.04412v1,measured,1,1,0,1,1,0
1512.04143v1,measured,1,0,0,0,0,0
1703.10896v2,measured,0,0,0,0,0,0
1703.10664v3,measured,0,0,0,0,0,0
1703.10295v3,measured,1,0,0,0,1,0
1703.10025v2,measured,0,0,0,0,0,0
1703.08912v2,measured,0,0,0,0,0,0
1703.08603v3,measured,0,0,0,0,0,0
1703.08289v1,measured,0,0,0,0,0,0
1703.07815v1,measured,0,0,0,0,0,0
1706.10217v1,measured,0,0,0,0,0,0
1706.09650v1,measured,0,0,0,0,0,0
1706.09180v2,no_source,,,,,,
1706.08574v1,measured,0,0,0,0,0,0
1706.08249v8,measured,0,0,0,0,0,0
1706.08211v1,measured,0,0,0,0,0,0
1706.06782v2,measured,0,0,0,0,0,0
1706.06768v1,measured,0,0,0,0,0,0
1709.09323v3,measured,1,1,0,1,0,0
1709.08142v3,no_source,,,,,,
1709.07326v3,measured,1,0,0,0,0,0
1709.07322v1,measured,0,0,0,0,0,0
1709.05943v1,measured,0,0,0,0,0,0
1709.05054v3,no_source,,,,,,
1709.05021v1,measured,0,0,0,0,0,0
1709.04821v2,measured,1,0,0,0,0,0
1712.09558v2,measured,0,0,0,0,0,0
1712.09093v3,no_source,,,,,,
1712.08745v1,measured,0,0,0,0,0,0
1712.08062v2,measured,0,0,0,0,0,0
1712.07322v1,measured,0,0,0,0,0,0
1712.06780v1,measured,0,0,0,0,0,0
1712.06317v3,measured,0,0,0,0,0,0
1712.05896v1,measured,0,0,0,0,0,0
1803.11395v1,measured,0,0,0,0,0,0
1803.11365v1,measured,0,0,0,0,0,0
1803.11316v1,measured,0,0,0,0,0,0
1803.10861v1,measured,0,0,0,0,0,0
1803.10842v1,measured,0,0,0,0,0,0
1803.10794v1,measured,0,0,0,0,0,0
1803.10683v3,measured,0,0,0,0,0,0
1803.10474v2,no_source,,,,,,
1807.00202v2,measured,0,0,0,0,0,0
1807.00147v3,measured,0,0,0,0,0,0
1807.00119v1,measured,0,2,2,0,0,0
1806.11368v1,measured,0,0,0,0,0,0
1806.11314v2,measured,0,0,0,0,0,0
1806.11223v3,measured,0,0,0,0,0,0
1806.10787v1,measured,0,0,0,0,0,0
1806.10781v1,measured,0,0,0,0,0,0
1810.00434v2,measured,0,0,0,0,0,0
1810.00345v2,measured,0,0,0,0,0,0
1809.11036v2,measured,0,0,0,0,0,0
1809.10821v1,measured,0,0,0,0,0,0
1809.10792v1,measured,0,0,0,0,0,0
1809.10562v1,measured,1,0,0,0,0,0
1809.10548v1,measured,0,0,0,0,0,0
1810.03967v3,no_source,,,,,,
1812.11901v1,measured,0,0,0,0,0,0
1901.00003v3,measured,0,0,0,0,0,0
1812.11797v1,measured,0,0,0,0,0,0
1812.10956v2,no_source,,,,,,
1812.10330v1,measured,0,0,0,0,0,0
1812.10240v1,measured,0,0,0,0,0,0
1812.10066v3,measured,0,0,0,0,0,0
1812.09025v1,measured,0,0,0,0,0,0
2004.03333v1,measured,0,0,0,0,0,0
2003.14194v2,no_source,,,,,,
2003.14142v1,measured,0,3,3,0,0,3
2003.14023v1,measured,1,0,0,0,0,0
2003.13880v2,measured,0,0,0,0,0,0
2003.13870v1,measured,0,0,0,0,0,0
2003.13867v1,measured,1,1,0,1,0,0
2003.13630v3,measured,0,0,0,0,0,0
2007.00114v3,measured,0,0,0,0,0,0
2006.16956v2,measured,0,0,0,0,0,0
2006.16867v2,measured,0,0,0,0,0,0
2006.16836v2,measured,0,0,0,0,0,0
2006.16471v4,measured,1,0,0,0,0,0
2006.16007v1,measured,1,0,0,0,0,0
2006.15789v1,measured,0,0,0,0,0,0
2007.00047v1,no_source,,,,,,
2009.14558v1,measured,0,3,0,3,2,0
2009.14524v1,measured,0,0,0,0,0,0
2009.14178v1,measured,0,0,0,0,0,0
2009.14119v4,measured,0,0,0,0,0,0
2009.13803v1,measured,1,1,0,1,0,0
2010.11702v1,measured,0,0,0,0,0,0
2009.13723v1,measured,0,0,0,0,0,0
2009.13684v2,measured,0,0,0,0,0,0
2012.15712v2,measured,0,0,0,0,0,0
2012.15460v2,measured,0,0,0,0,0,0
2012.15439v1,measured,0,5,0,5,0,0
2012.15432v1,no_source,,,,,,
2012.15159v1,measured,0,9,9,0,0,6
2012.15072v1,measured,1,0,0,0,0,0
2012.14891v1,measured,0,0,0,0,0,0
2012.14345v2,measured,1,0,0,0,0,0
2103.17220v1,measured,1,11,11,0,0,11
2103.17202v1,measured,0,0,0,0,0,0
2103.17084v2,measured,0,0,0,0,0,0
2103.16847v3,measured,0,0,0,0,0,0
2103.16844v1,measured,0,0,0,0,0,0
2103.16651v1,measured,0,0,0,0,0,0
2103.16470v1,measured,1,0,0,0,0,0
2103.16370v1,measured,0,0,0,0,0,0
2107.00057v1,measured,0,0,0,0,0,0
2106.16118v1,measured,0,1,0,1,0,0
2106.15947v1,measured,1,18,18,0,0,18
2106.15796v2,measured,0,0,0,0,0,0
2106.15793v1,measured,0,0,0,0,0,0
2106.15788v4,measured,0,0,0,0,0,0
2106.15753v3,measured,0,0,0,0,0,0
2106.15681v1,no_source,,,,,,
2110.00061v3,measured,0,0,0,0,0,0
2109.14979v3,measured,0,0,0,0,0,0
2109.14737v1,measured,0,0,0,0,0,0
2109.13913v1,measured,0,2,2,0,0,2
2109.13488v2,measured,0,14,14,0,0,10
2109.13027v1,measured,0,0,0,0,0,0
2109.12862v1,measured,0,3,3,0,1,3
2109.12848v4,measured,1,2,0,2,0,2
2201.00063v1,measured,0,0,0,0,0,0
2112.15458v3,measured,1,4,0,4,0,0
2112.15139v4,measured,0,0,0,0,0,0
2112.14663v3,measured,0,0,0,0,0,0
2112.14023v1,measured,1,0,0,0,0,0
2112.14019v2,measured,0,0,0,0,0,0
2112.14000v1,measured,0,4,4,0,0,4
2112.13989v2,measured,1,2,0,2,0,0
2410.00267v1,measured,1,0,0,0,0,0
2410.10843v1,measured,0,0,0,0,0,0
2409.20520v2,measured,0,0,0,0,51,0
2409.20508v1,measured,0,0,0,0,0,0
2409.20426v1,measured,0,0,0,0,0,0
2409.20122v1,measured,0,1,0,1,0,0
2409.19986v2,measured,0,0,0,0,0,0
2409.19983v1,measured,0,0,0,0,0,0
2501.00625v3,measured,0,0,0,0,0,0
2501.00426v1,no_source,,,,,,
2412.20911v1,measured,0,0,0,0,0,0
2412.20749v1,no_source,,,,,,
2412.20701v1,measured,0,0,0,0,0,0
2412.20665v2,measured,0,0,0,0,0,0
2412.20645v1,measured,1,0,0,0,0,0
2412.20370v1,no_source,,,,,,
2504.00149v1,measured,0,0,0,0,0,0
2503.24389v1,measured,1,0,0,0,12,0
2503.24219v1,measured,0,1,0,1,0,0
2503.23947v2,measured,0,0,0,0,0,0
